price,bedrooms,surface,floors
362.0,3,1120,1
419.95,4,2260,2
343.0,3,2210,1
370.0,2,1280,2
180.0,3,1670,1
339.95,5,1890,2
490.0,3,1280,2
557.0,4,2840,2
355.0,3,1850,1
560.0,3,2780,1
365.0,2,960,1
440.0,2,1190,1
432.0,3,1470,1
374.5,3,960,1
450.5,2,1330,1
1095.0,4,3530,2
600.0,3,1310,2
325.0,2,840,1
475.0,5,3100,2
650.0,4,2160,1
750.0,3,2400,2
327.5,4,2240,2
683.0,3,2300,2
550.0,4,2360,1
549.95,5,2650,2
507.0,4,2730,2
439.0,3,3180,1
1125.0,6,2880,2
376.95,4,2643,2
432.1,3,1840,1
380.0,2,780,1
515.0,3,1710,1
555.0,3,1570,1
333.7,3,2230,2
1100.0,4,2190,1
265.0,4,1940,1
850.0,4,2350,1
249.9,3,1310,1
242.5,3,1770,1
406.0,3,1390,1
525.0,2,1360,1
220.0,4,2020,1
373.0,3,1670,2
392.5,3,1660,1
357.95,2,810,1
805.0,4,2410,1
350.0,3,1300,1
880.0,5,4600,2
456.0,3,1440,1
699.9,4,2380,1
330.0,2,520,1
305.0,2,1000,1
615.0,3,1860,1
645.0,4,2430,1
865.95,5,4890,2
290.0,2,850,1
336.0,3,2760,1
449.0,3,1660,1
635.0,5,3710,2
330.0,4,2440,1
341.5,3,1130,1
415.0,4,2390,1
250.0,2,1160,2
300.0,2,750,1
815.0,4,3488,2
262.0,3,1970,2
335.9,4,2475,2
735.0,4,2450,2
220.0,3,1460,1
484.0,3,1950,1
265.0,0,384,1
345.0,3,960,1
230.0,3,1830,1
549.995,3,1120,1
991.5,4,3820,2
925.0,3,2440,1
344.2,4,2490,2
336.0,4,2210,2
435.0,6,2400,2
1237.5,4,5180,2
681.0,3,1880,1
560.0,4,1950,1
1600.0,4,4280,2
453.0,4,1880,1
322.5,4,2060,1
668.0,4,2670,2
223.99,2,1061,2
150.0,2,840,1
236.0,3,1300,1
468.0,3,1470,2
402.0,3,1200,1
1054.71,4,4210,2
260.0,3,1030,1
570.0,4,2460,1
671.3,4,3280,2
372.0,3,1330,2
670.0,5,2520,2
1050.0,3,2200,2
1385.0,6,5700,1
331.5,4,1700,1
499.0,3,1861,2
515.0,2,1150,1
1712.75,5,2660,1
450.0,3,2150,1
305.0,2,960,1
203.0,3,840,1
279.0,4,1840,1
172.04,3,1710,1
740.0,4,3430,2
533.38,4,2790,2
280.0,3,1370,2
462.6,3,1320,1
212.0,3,1060,1
197.2,3,1140,1
450.0,2,1530,2
565.0,4,2230,1
465.0,3,2760,1
90.0,2,580,1
2300.0,4,3970,2
357.0,3,2460,1
641.5,1,1000,1
265.9,3,1180,1
246.0,4,1720,1
550.0,4,2850,2
625.0,4,2630,2
402.0,3,1720,1
337.0,2,1010,1
382.0,5,2880,2
620.0,3,2010,1
1500.0,5,4370,2
260.0,3,1580,1
244.9,1,620,1
850.0,4,3180,2
950.0,4,3230,2
840.0,3,3050,1
360.0,3,1660,1
350.0,3,1090,1
264.5,3,1580,1
689.8,3,2390,1
375.0,3,2120,2
321.5,4,2620,2
409.0,3,1950,2
239.95,2,1280,1
650.0,5,2400,1
1325.0,6,5720,2
450.0,3,1810,1
445.0,2,930,1
237.0,3,960,1
480.0,3,1590,2
655.1,1,1220,1
450.0,2,1120,1
312.5,3,1170,1
281.0,4,1677,2
375.0,3,3120,1
265.0,3,1070,1
500.0,3,2270,2
850.0,2,2210,1
700.0,3,2410,2
572.65,4,2250,2
1218.0,4,3670,2
1010.0,3,2160,2
849.0,3,2520,1
990.0,3,2630,2
350.0,4,2060,1
350.0,2,740,1
294.7,3,1970,1
385.0,4,1850,1
533.0,3,2810,2
575.0,2,1490,1
440.0,3,1900,1
235.0,3,1250,1
312.5,3,1490,1
249.0,3,1520,1
312.0,2,1160,1
328.0,3,1440,2
220.0,3,1650,1
375.0,2,1010,1
560.0,3,2280,2
515.0,4,1820,1
502.0,4,2680,2
587.0,5,3610,2
328.423,3,1730,2
775.0,4,4130,2
224.95,4,2260,1
330.0,3,1450,1
326.9,3,2060,2
318.0,4,2180,1
305.0,2,860,1
249.0,3,1180,1
410.0,3,1020,1
1095.0,5,4410,2
675.0,3,1300,2
495.0,2,1160,2
345.0,3,1600,2
937.5,4,5545,2
329.9,3,1380,1
357.8,3,1240,1
552.5,4,3710,2
182.5,3,1830,2
500.0,3,960,1
321.0,4,2430,2
685.0,3,2230,2
1150.0,6,4090,2
375.0,5,2050,1
350.5,2,1770,1
543.0,2,940,1
160.0,3,1480,1
425.0,2,1320,1
565.0,4,3130,2
310.0,5,2190,1
515.0,4,2700,2
255.0,3,1550,1
1100.0,4,5070,2
499.99,3,1630,1
600.0,4,2090,2
243.5,2,900,1
240.0,3,1510,1
470.0,3,2280,2
950.0,3,3080,2
635.0,3,3350,2
480.0,3,1940,2
299.5,2,740,1
305.0,3,1320,2
710.0,4,2630,1
329.95,4,2120,2
535.0,2,920,1
595.0,5,2980,1
400.0,4,1670,1
708.0,2,1120,1
804.995,5,3360,2
464.0,3,1320,2
535.0,2,2560,1
515.0,3,2440,2
415.0,3,1300,1
432.9,3,2210,2
474.0,2,1050,1
385.0,3,1930,1
449.0,2,1460,2
530.0,3,1440,1
579.95,4,2460,2
210.0,4,1130,1
580.0,3,2200,2
395.0,1,730,1
354.0,2,850,1
400.0,4,3350,1
370.0,4,2220,2
572.0,4,2770,2
1825.0,3,6030,2
865.0,5,2830,1
269.5,2,1480,1
548.0,4,2100,1
427.0,2,1440,2
685.0,4,3320,2
585.0,6,3870,2
1210.0,4,3270,2
497.0,3,2240,1
440.0,3,1570,1
245.0,2,1020,1
352.0,2,760,1
358.5,3,2000,1
500.0,4,2230,1
226.8,2,1240,1
565.997,5,2730,2
1078.0,4,3160,2
245.0,3,1370,1
555.0,4,2220,1
323.5,3,2240,2
428.0,3,2600,2
149.5,3,1010,1
540.5,3,2800,1
585.0,3,1790,1
209.95,3,1570,1
345.0,4,2331,2
280.5,3,2440,1
608.0,4,2490,1
394.0,3,1370,1
198.0,3,860,1
540.0,6,2870,2
2260.0,3,3110,1
618.0,5,1880,1
289.0,3,1850,1
625.0,4,2070,1
1028.0,3,2800,1
558.0,4,2060,1
465.0,4,2070,2
290.0,4,2050,2
417.0,4,2090,1
677.0,4,2820,2
500.0,4,2040,1
1029.28,4,3600,2
800.0,4,3010,2
637.5,4,2320,2
318.0,3,1010,1
410.0,3,1740,2
589.0,4,2910,2
598.78,4,3040,1
245.0,2,870,1
618.0,2,1890,1
513.0,3,1810,2
675.0,4,3190,2
397.0,4,2020,1
785.5,4,3280,2
463.5,1,1090,1
395.0,5,2100,1
335.0,3,1570,1
320.0,3,1230,1
419.9,3,1630,2
400.0,3,1180,2
480.0,4,1920,1
479.0,4,2590,2
205.0,4,1450,1
845.0,4,3350,1
580.0,3,2150,2
770.0,3,2070,2
503.0,3,2590,2
600.0,5,3000,2
1680.0,4,5584,2
705.0,3,1970,2
502.775,3,1700,1
840.0,5,2790,1
425.0,2,1150,1
550.0,3,1830,1
322.5,3,1160,1
205.0,3,1800,1
535.0,4,2610,2
355.0,3,2370,1
430.0,5,3880,2
429.0,3,2420,2
575.0,3,1750,2
255.0,4,960,1
330.0,3,2210,2
272.0,4,2040,1
425.0,2,1160,1
775.0,4,3010,2
843.5,4,2630,2
282.613,2,830,1
250.0,2,1030,1
425.0,3,1010,1
338.9,3,1180,1
765.0,4,2910,2
540.5,5,3090,2
299.9,4,1580,2
925.0,4,2110,1
270.0,4,1600,2
230.95,2,930,1
740.0,3,1830,1
373.0,3,2990,1
475.0,4,2410,1
490.0,3,1420,1
256.5,5,1960,1
400.0,3,1330,1
625.0,3,2570,1
399.0,3,1340,1
475.0,4,2100,1
595.0,2,1030,1
477.0,3,2100,2
172.5,3,1040,1
350.0,3,1830,1
244.0,3,1360,1
950.0,4,3360,2
452.0,3,2600,1
295.0,3,1520,1
375.0,3,2760,2
999.0,7,3150,1
293.0,2,1610,2
652.1,3,2380,2
295.0,3,1690,2
910.0,4,3570,2
315.0,2,2080,1
400.0,4,2420,1
381.8,4,1530,1
500.0,3,1730,1
335.0,3,980,1
505.0,4,1940,1
333.5,3,1220,1
815.0,3,2780,2
710.0,3,1880,1
420.0,3,2020,2
870.0,4,3010,2
620.0,2,990,1
286.0,2,780,1
1375.0,4,3130,2
405.0,2,880,1
229.9,3,1440,1
215.0,3,1280,2
650.0,3,1320,1
312.0,4,1300,1
425.0,3,1320,1
282.0,4,1785,2
850.0,5,3450,1
304.9,4,2600,1
550.0,3,1680,1
290.0,3,1420,2
539.95,3,2190,1
535.0,3,1850,2
473.0,3,1620,2
620.0,4,2850,2
355.0,3,2110,2
510.5,3,1270,1
638.0,3,2170,2
719.0,3,1800,1
270.0,3,1760,1
517.1,3,1580,1
357.0,2,870,1
705.0,3,1580,2
335.0,3,2031,2
550.0,3,2800,2
326.5,3,1810,2
205.0,3,1410,1
1550.0,4,5280,2
559.0,3,1700,1
400.0,3,3000,1
200.5,3,1280,1
667.5,3,1880,1
550.0,4,1660,1
265.0,3,1530,2
718.5,4,2840,2
464.5,5,2940,1
520.0,4,2490,2
330.0,3,1060,1
260.0,2,690,1
715.0,4,1986,2
418.0,4,3266,2
173.0,2,820,1
715.0,5,1920,1
374.9,5,2980,1
565.0,2,1670,1
237.0,3,1300,1
393.0,3,2140,2
434.9,3,1520,1
225.0,3,960,1
355.0,3,1120,1
490.0,3,1930,2
382.88,3,1620,1
629.95,3,1680,2
255.0,3,1140,1
185.0,4,1380,1
241.45,3,1100,1
625.0,4,2740,1
580.0,3,1670,1
502.0,4,2040,2
3300.0,5,8020,2
272.0,3,1380,1
390.0,5,2890,1
350.0,4,2310,1
615.0,3,1920,1
550.0,3,2720,1
510.0,3,1845,2
480.0,4,2430,2
285.5,4,1960,1
960.0,5,3040,2
1650.0,8,4040,1
280.0,3,1790,1
682.0,2,890,1
1380.0,5,4050,1
299.95,3,1320,2
886.0,3,2380,2
365.0,4,1800,1
349.95,5,2257,1
610.0,4,2950,2
569.0,4,2250,2
1220.0,4,3200,2
745.0,3,2970,1
510.0,3,1890,2
260.0,3,1490,2
660.0,3,2650,2
400.0,4,3140,2
369.95,4,1910,2
395.0,2,980,1
358.0,3,1250,1
540.0,4,2050,2
416.0,3,1800,2
190.0,3,1180,1
349.5,3,1400,1
370.0,5,2740,2
1378.0,5,3680,2
750.0,4,3050,2
550.0,3,2230,1
850.0,3,2220,2
504.975,2,1900,2
235.0,3,1370,1
309.0,3,1950,2
690.0,4,3210,2
172.0,3,970,1
232.5,3,1940,1
2574.0,4,4475,2
82.5,2,520,1
535.0,3,1960,2
180.0,3,1990,2
299.0,3,1510,1
620.0,4,3040,2
655.5,4,2380,1
328.0,2,1550,2
253.5,3,1440,1
699.0,5,3340,2
580.0,3,1820,2
1250.0,4,4980,2
485.0,4,2820,1
385.0,4,2960,2
627.8,4,2010,1
625.0,3,2120,1
450.0,4,1990,1
900.0,4,4700,2
392.5,2,1050,1
810.0,3,1520,1
340.0,4,1900,1
795.0,3,2260,2
254.0,3,1480,1
150.0,3,1200,1
315.0,4,2300,1
1960.0,4,4430,2
2400.0,4,5860,2
624.0,4,2710,1
1050.0,4,3260,2
252.5,2,770,1
324.95,3,1040,1
580.0,4,1780,1
270.0,4,2701,2
400.0,4,3030,2
500.0,4,2050,2
401.0,3,2020,1
838.0,3,2930,2
400.0,4,2230,1
550.0,4,2120,1
455.0,4,3060,1
1205.0,4,3150,2
489.0,3,3080,2
356.0,3,1680,1
615.75,4,2140,2
998.0,4,3770,2
331.21,4,2240,2
325.0,2,1070,1
430.0,4,1890,1
195.0,3,1190,1
995.0,2,1600,1
286.7,3,1220,1
465.0,3,930,1
325.0,2,1400,1
757.0,3,3190,2
260.0,3,1489,2
313.1,4,2660,1
960.0,4,3720,2
268.5,2,790,1
414.0,3,1790,2
1007.5,4,3510,2
555.0,5,2810,1
745.0,5,4720,2
287.0,2,2410,1
565.0,3,1540,1
1000.0,5,3920,2
630.0,3,1940,1
264.0,3,1820,1
1050.0,4,4550,1
660.0,3,3600,2
1564.35,4,3730,2
447.5,3,2320,2
211.0,3,1350,1
455.0,3,2400,1
415.0,3,1710,2
277.5,4,2550,1
330.0,2,1440,1
775.0,4,3390,2
652.5,4,2700,2
425.0,2,1670,1
541.5,3,2320,1
635.0,2,2470,2
353.0,3,2550,2
550.0,3,1450,2
381.0,3,2700,1
197.4,3,1610,1
362.0,5,1810,2
1085.5,4,3010,2
630.0,4,2330,2
950.0,3,2150,2
670.0,5,3860,1
210.0,3,1200,1
340.0,3,1960,1
225.0,4,1800,1
560.0,3,1570,1
423.7,3,2070,2
699.85,4,2690,2
375.0,4,2420,2
330.0,3,2170,1
827.235,3,1740,1
417.0,3,1310,1
738.0,3,2620,2
771.0,4,2420,2
510.0,4,2440,1
430.0,3,1550,2
510.0,3,2240,2
925.0,4,3280,2
265.0,3,1460,1
201.5,3,1160,1
375.0,3,2100,1
1665.0,4,3450,2
615.0,3,2110,1
315.0,3,2500,1
615.5,3,1810,1
249.0,3,1110,1
200.0,4,2090,1
255.0,3,930,1
625.0,3,1730,1
1650.0,4,4285,2
732.0,4,2360,1
283.0,4,2130,1
255.0,2,920,1
409.0,2,1480,1
200.0,2,950,1
335.0,4,1910,1
554.0,5,1870,1
322.5,4,1940,2
409.124,5,3320,2
1120.0,5,4400,1
805.0,4,2440,1
730.0,4,3660,2
675.0,4,2220,1
151.0,2,720,1
279.8,3,1410,2
375.0,4,2510,2
650.0,3,1660,1
402.5,3,2160,2
363.0,3,1960,1
506.95,3,2080,2
840.0,4,3500,2
375.0,4,1757,1
480.0,3,2450,2
425.0,3,1420,2
419.625,4,2680,2
913.888,5,2370,2
329.0,3,1600,1
229.95,3,1900,2
309.95,4,1450,1
285.0,3,1990,1
522.5,4,2370,1
663.5,2,1310,1
505.0,2,1070,1
895.0,4,2850,2
279.0,3,1110,1
780.0,5,3480,1
857.326,3,3940,2
760.0,4,3300,2
535.0,3,2490,2
550.0,4,3148,2
285.0,4,2130,1
330.95,3,1630,2
850.0,4,3450,2
1170.0,4,2570,2
600.0,2,920,1
186.95,2,1390,2
630.0,4,2807,2
317.5,2,1000,1
340.0,3,1460,1
839.0,5,4280,2
142.0,0,290,1
300.0,4,2050,1
532.0,3,2360,1
732.0,3,1960,2
290.3,2,860,1
365.0,3,2190,2
530.0,4,3020,2
1020.0,5,4180,2
562.5,3,2030,1
300.0,2,1220,1
299.9,3,2100,2
3200.0,3,4560,1
600.0,5,2190,1
305.0,3,1250,1
955.99,5,3830,2
471.0,4,1760,1
415.0,3,1640,1
398.0,3,1310,2
400.375,4,1690,1
458.5,2,1160,1
930.0,3,2950,2
700.0,9,3680,2
272.0,3,1528,2
350.0,3,1050,1
649.0,4,2980,2
135.0,2,830,1
